usertype,start_station_name,end_station_name,route,num_of_trips,duration
,,, to ,5828994,
Customer,Central Park S & 6 Ave,Central Park S & 6 Ave,Central Park S & 6 Ave to Central Park S & 6 Ave,46671,50.36
Customer,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S to Grand Army Plaza & Central Park S,21039,58.02
Customer,Centre St & Chambers St,Centre St & Chambers St,Centre St & Chambers St to Centre St & Chambers St,17543,34.75
Subscriber,W 21 St & 6 Ave,9 Ave & W 22 St,W 21 St & 6 Ave to 9 Ave & W 22 St,17260,5.23
Subscriber,W 21 St & 6 Ave,W 22 St & 10 Ave,W 21 St & 6 Ave to W 22 St & 10 Ave,14715,6.94
Subscriber,Pershing Square North,W 33 St & 7 Ave,Pershing Square North to W 33 St & 7 Ave,12559,8.4
Customer,Broadway & W 60 St,Broadway & W 60 St,Broadway & W 60 St to Broadway & W 60 St,12528,52.09
Subscriber,W 22 St & 10 Ave,W 22 St & 8 Ave,W 22 St & 10 Ave to W 22 St & 8 Ave,11764,3.58
Subscriber,Pershing Square North,E 24 St & Park Ave S,Pershing Square North to E 24 St & Park Ave S,11737,7.03
Subscriber,E 7 St & Avenue A,Lafayette St & E 8 St,E 7 St & Avenue A to Lafayette St & E 8 St,11480,5.59
Subscriber,Pershing Square North,W 41 St & 8 Ave,Pershing Square North to W 41 St & 8 Ave,11475,7.76
Customer,Centre St & Chambers St,Cadman Plaza E & Tillary St,Centre St & Chambers St to Cadman Plaza E & Tillary St,11269,29.79
Subscriber,West Thames St,Vesey Pl & River Terrace,West Thames St to Vesey Pl & River Terrace,11267,6.68
Subscriber,DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Hudson Ave,DeKalb Ave & Vanderbilt Ave to DeKalb Ave & Hudson Ave,11100,5.33
Customer,Old Fulton St,Centre St & Chambers St,Old Fulton St to Centre St & Chambers St,11005,31.24
Subscriber,Pershing Square North,Broadway & W 32 St,Pershing Square North to Broadway & W 32 St,10995,7.35
Subscriber,W 22 St & 10 Ave,W 21 St & 6 Ave,W 22 St & 10 Ave to W 21 St & 6 Ave,10934,6.88
Subscriber,E 10 St & Avenue A,Lafayette St & E 8 St,E 10 St & Avenue A to Lafayette St & E 8 St,10555,6.53
Subscriber,W 21 St & 6 Ave,W 22 St & 8 Ave,W 21 St & 6 Ave to W 22 St & 8 Ave,10336,5.12
Subscriber,11 Ave & W 41 St,8 Ave & W 33 St,11 Ave & W 41 St to 8 Ave & W 33 St,10271,7.69
Subscriber,W 17 St & 8 Ave,8 Ave & W 31 St,W 17 St & 8 Ave to 8 Ave & W 31 St,10114,6.42
Subscriber,W 26 St & 8 Ave,11 Ave & W 27 St,W 26 St & 8 Ave to 11 Ave & W 27 St,10007,5.58
Subscriber,Willoughby St & Fleet St,Adelphi St & Myrtle Ave,Willoughby St & Fleet St to Adelphi St & Myrtle Ave,9939,5.22
Customer,Grand Army Plaza & Central Park S,Central Park S & 6 Ave,Grand Army Plaza & Central Park S to Central Park S & 6 Ave,9885,61.11
Subscriber,E 32 St & Park Ave,2 Ave & E 31 St,E 32 St & Park Ave to 2 Ave & E 31 St,9825,3.87
Customer,12 Ave & W 40 St,West St & Chambers St,12 Ave & W 40 St to West St & Chambers St,9798,25.99
Subscriber,Lafayette St & E 8 St,E 10 St & Avenue A,Lafayette St & E 8 St to E 10 St & Avenue A,9698,6.85
Subscriber,Henry St & Grand St,Canal St & Rutgers St,Henry St & Grand St to Canal St & Rutgers St,9697,4.56
Subscriber,E 47 St & Park Ave,W 41 St & 8 Ave,E 47 St & Park Ave to W 41 St & 8 Ave,9692,8.91
Subscriber,Broadway & E 14 St,Washington Pl & Broadway,Broadway & E 14 St to Washington Pl & Broadway,9603,4.12
Subscriber,W 42 St & 8 Ave,11 Ave & W 41 St,W 42 St & 8 Ave to 11 Ave & W 41 St,9423,5.12
Subscriber,11 Ave & W 27 St,W 26 St & 8 Ave,11 Ave & W 27 St to W 26 St & 8 Ave,9402,4.93
Subscriber,E 30 St & Park Ave S,Pershing Square North,E 30 St & Park Ave S to Pershing Square North,9391,5.8
Subscriber,W 17 St & 8 Ave,W 20 St & 11 Ave,W 17 St & 8 Ave to W 20 St & 11 Ave,9355,5.49
Subscriber,Norfolk St & Broome St,Henry St & Grand St,Norfolk St & Broome St to Henry St & Grand St,9114,4.53
Subscriber,Lafayette St & E 8 St,E 7 St & Avenue A,Lafayette St & E 8 St to E 7 St & Avenue A,9114,6.23
Subscriber,Canal St & Rutgers St,Henry St & Grand St,Canal St & Rutgers St to Henry St & Grand St,9080,8.66
Subscriber,Central Park S & 6 Ave,Central Park S & 6 Ave,Central Park S & 6 Ave to Central Park S & 6 Ave,9032,31.12
Subscriber,W 26 St & 10 Ave,W 26 St & 8 Ave,W 26 St & 10 Ave to W 26 St & 8 Ave,9025,3.79
Subscriber,West Thames St,South End Ave & Liberty St,West Thames St to South End Ave & Liberty St,9018,4.71
Subscriber,9 Ave & W 22 St,W 21 St & 6 Ave,9 Ave & W 22 St to W 21 St & 6 Ave,8986,5.83
Subscriber,Adelphi St & Myrtle Ave,DeKalb Ave & Hudson Ave,Adelphi St & Myrtle Ave to DeKalb Ave & Hudson Ave,8980,5.78
Subscriber,South End Ave & Liberty St,West Thames St,South End Ave & Liberty St to West Thames St,8977,5.04
Subscriber,Cleveland Pl & Spring St,Lafayette St & E 8 St,Cleveland Pl & Spring St to Lafayette St & E 8 St,8942,6.55
Subscriber,E 10 St & Avenue A,Broadway & E 14 St,E 10 St & Avenue A to Broadway & E 14 St,8898,8.1
Subscriber,12 Ave & W 40 St,West St & Chambers St,12 Ave & W 40 St to West St & Chambers St,8869,21.85
Subscriber,Henry St & Grand St,Norfolk St & Broome St,Henry St & Grand St to Norfolk St & Broome St,8825,4.29
Subscriber,Vesey Pl & River Terrace,West Thames St,Vesey Pl & River Terrace to West Thames St,8822,7.02
Subscriber,E 43 St & Vanderbilt Ave,W 41 St & 8 Ave,E 43 St & Vanderbilt Ave to W 41 St & 8 Ave,8743,7.04
Subscriber,South End Ave & Liberty St,Little West St & 1 Pl,South End Ave & Liberty St to Little West St & 1 Pl,8719,5.62
Subscriber,University Pl & E 14 St,Greenwich Ave & 8 Ave,University Pl & E 14 St to Greenwich Ave & 8 Ave,8678,6.14
Subscriber,Clinton Ave & Myrtle Ave,Willoughby St & Fleet St,Clinton Ave & Myrtle Ave to Willoughby St & Fleet St,8656,6.03
Subscriber,N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave to Wythe Ave & Metropolitan Ave,8652,3.71
Subscriber,W 21 St & 6 Ave,W 15 St & 7 Ave,W 21 St & 6 Ave to W 15 St & 7 Ave,8620,4.66
Customer,Central Park S & 6 Ave,5 Ave & E 88 St,Central Park S & 6 Ave to 5 Ave & E 88 St,8559,25.37
Subscriber,8 Ave & W 31 St,11 Ave & W 27 St,8 Ave & W 31 St to 11 Ave & W 27 St,8544,6.41
Customer,Central Park S & 6 Ave,5 Ave & E 78 St,Central Park S & 6 Ave to 5 Ave & E 78 St,8499,31.29
Subscriber,West St & Chambers St,West St & Chambers St,West St & Chambers St to West St & Chambers St,8437,23.21
Subscriber,Lafayette St & Jersey St,Lafayette St & E 8 St,Lafayette St & Jersey St to Lafayette St & E 8 St,8425,4.88
Subscriber,8 Ave & W 52 St,W 53 St & 10 Ave,8 Ave & W 52 St to W 53 St & 10 Ave,8404,3.92
Subscriber,S 4 St & Wythe Ave,N 6 St & Bedford Ave,S 4 St & Wythe Ave to N 6 St & Bedford Ave,8345,4.84
Subscriber,E 13 St & Avenue A,Broadway & E 14 St,E 13 St & Avenue A to Broadway & E 14 St,8325,7.41
Subscriber,E 32 St & Park Ave,1 Ave & E 30 St,E 32 St & Park Ave to 1 Ave & E 30 St,8295,5.01
Subscriber,LaGuardia Pl & W 3 St,University Pl & E 14 St,LaGuardia Pl & W 3 St to University Pl & E 14 St,8277,5.15
Subscriber,Broadway & E 22 St,E 17 St & Broadway,Broadway & E 22 St to E 17 St & Broadway,8268,4.18
Subscriber,Little West St & 1 Pl,Vesey Pl & River Terrace,Little West St & 1 Pl to Vesey Pl & River Terrace,8239,7.73
Subscriber,11 Ave & W 27 St,8 Ave & W 31 St,11 Ave & W 27 St to 8 Ave & W 31 St,8209,6.78
Subscriber,W 22 St & 10 Ave,Broadway & E 22 St,W 22 St & 10 Ave to Broadway & E 22 St,8168,9.95
